code,name,goup,ig_type
g203,Herbe des prés salés,Pollens de graminées,IgE
g204,Fromental,Pollens de graminées,IgE
g205,rPhl p 1 Phéole ; recombinant,Pollens de graminées,IgE
g206,rPhl p 2 ; Phléole ; recombinant,Pollens de graminées,IgE
g208,"nPhl p 4 Phéole, natif ; recombinant",Pollens de graminées,IgE
g209,rPhl p 6 Phéole ; recombinant,Pollens de graminées,IgE
g210,rPhl p 7 Phéole ; recombinant,Pollens de graminées,IgE
g211,rPhl p 11 Phléole ; recombinant,Pollens de graminées,IgE
g212,rPhl p 12 Phléole ; recombinant,Pollens de graminées,IgE
g213,"rPhl p 1, rPhl p 5b Phléole ; recombinants",Pollens de graminées,IgE
g214,"rPhl p 7, rPhl p 12 Phléole ; recombinants",Pollens de graminées,IgE
g215,rPhl p 5 Phléole ; recombinant,Pollens de graminées,IgE
g3,Dactyle,Pollens de graminées,IgG4
g3,Dactyle,Pollens de graminées,IgG
g3,Dactyle pelotonné,Pollens de graminées,IgE
g4,Fétuque des prés,Pollens de graminées,IgG
g4,Fétuque des prés,Pollens de graminées,IgG4
g4,Fétuque des prés,Pollens de graminées,IgE
g5,Ivraie vivace,Pollens de graminées,IgE
g5,Ivraie,Pollens de graminées,IgG
g5,Ivraie,Pollens de graminées,IgG4
g6,Phléole des prés,Pollens de graminées,IgE
g6,Phléole des prés,Pollens de graminées,IgE
g6,Phléole des prés,Pollens de graminées,IgG4
g6,Phléole des prés,Pollens de graminées,IgG
g7,Roseau à balais,Pollens de graminées,IgE
g70,Ivraie sauvage,Pollens de graminées,IgE
g71,Alpiste,Pollens de graminées,IgE
g8,Paturin des prés,Pollens de graminées,IgE
g8,Paturin,Pollens de graminées,IgG
g8,Paturin,Pollens de graminées,IgG4
g9,Agrostide,Pollens de graminées,IgE
g900,Fleur de canne à surcre,Pollens de graminées,IgE
hex,Héxabrix,"Acariens, poussières",IgE
hx2,Poussières de maison,"Acariens, poussières",IgE
h1,Poussières ; Greer,"Acariens, poussières",IgG
h1,Poussières ; Greer,"Acariens, poussières",IgE
h1,Poussières ; Greer,"Acariens, poussières",IgG4
h2,Poussières ; Hollister-Stier,"Acariens, poussières",IgE
i1,Abeille,Venins,IgE
i1,Abeille,Venins,IgG
i1,Abeille,Venins,IgG4
i2,Frelon tête blanche,Venins,IgG
i2,Frelon tête blanche,Venins,IgE
i2,Frelon tête blanche,Venins,IgG4
i201,Taon du cheval ; Gasterophilus intestinalis,"Insectes, venins et parasites ",IgE
i201,Mouche du cheval,"Insectes, venins et parasites ",IgG
i202,Charançon du blé,"Insectes, venins et parasites ",IgE
i202,Sitophilus granarius,"Insectes, venins et parasites ",IgG
i203,Ephestia,"Insectes, venins et parasites ",IgE
i204,Taon,"Insectes, venins et parasites ",IgE
i204,Taon,"Insectes, venins et parasites ",IgG
i204,Taon,"Insectes, venins et parasites ",IgG4
i205,Bourdon,"Insectes, venins et parasites ",IgG
i205,Bourdon,"Insectes, venins et parasites ",IgE
i205,Bourdon,"Insectes, venins et parasites ",IgG4
i206,Blatte américaine,"Insectes, venins et parasites ",IgG4
i206,Blatte américaine,"Insectes, venins et parasites ",IgE
i207,Blatte orientale,"Insectes, venins et parasites ",IgE
i3,Venin de guêpe ; vespula,Venins,IgG4
i3,Venin de guêpe ; vespula,Venins,IgG
i3,Venin de guêpe ; vespula,Venins,IgE
i4,Venin de guêpe ; poliste,Venins,IgG4
i4,Venin de guêpe ; poliste,Venins,IgG
i4,Venin de guêpe ; poliste,Venins,IgE
i5,Frelon tête jaune,Venins,IgG
i5,Frelon tête jaune,Venins,IgG4
i5,Frelon tête jaune,Venins,IgE
i6,Cafard ; Blatte germanique,"Insectes, venins et parasites ",IgG4
i6,Cafard ; Blatte germanique,"Insectes, venins et parasites ",IgG
i6,Cafard ; Blatte germanique,"Insectes, venins et parasites ",IgE
i70,Fourmi rouge,"Insectes, venins et parasites ",IgE
i70,Fourmi rouge,"Insectes, venins et parasites ",IgG4
i70,Fourmi rouge,"Insectes, venins et parasites ",IgG
i71,Moustique ; aedes communs,"Insectes, venins et parasites ",IgE
i71,Moustique,"Insectes, venins et parasites ",IgG4
i71,Moustique,"Insectes, venins et parasites ",IgG
i72,Mouche du Soudan,"Insectes, venins et parasites ",IgE
i72,Mouche du Soudan,"Insectes, venins et parasites ",IgG4
i73,Larve de ver de vase,"Insectes, venins et parasites ",IgE
i75,Venin de frelon,Venins,IgG4
i75,Venin de frelon ; Vespa crabro,Venins,IgE
i75,Venin de frelon,Venins,IgG
i76,Scarabé,"Insectes, venins et parasites ",IgE
i77,Venin de guêpe ; poliste dominulus,Venins,IgE
i8,Ver à soie ; Bombyx mori,"Insectes, venins et parasites ",IgE
kx4,"Mélange de bois tendres (Hêtre, Pin, Cèdre rouge, Sapin argenté)",Allergènes professionnels,IgE
k1,Fibre acrylique,Allergènes professionnels,IgE
k14,Kapok,Allergènes professionnels,IgE
k17,Nylon,Allergènes professionnels,IgE
k201,Papaïne,Allergènes professionnels,IgE
k202,Bromeline,Allergènes professionnels,IgE
k203,Phospholipase,Allergènes professionnels,IgE
k204,Maxatase,Allergènes professionnels,IgE
k205,Alkalase,Allergènes professionnels,IgE
k206,Savinase,Allergènes professionnels,IgE
k208,Lysozyme,Allergènes professionnels,IgE
k209,Anhydride hexahydrophtalique,Allergènes professionnels,IgE
k21,Laine de mouton,Allergènes professionnels,IgE
k210,Anhydride maléique,Allergènes professionnels,IgE
k211,Anhydride méthyltétrahydrophtalique,Allergènes professionnels,IgE
k212,Poussière de bois ; Triphochiton scteroxylon,Allergènes professionnels,IgE
k213,Pepsine,Allergènes professionnels,IgE
k214,Bougainvillée,Allergènes professionnels,IgE
k215,Latex rHev b 1 (recombinant),Allergènes professionnels,IgE
k216,Latex rHev b 2 (recombinant),Allergènes professionnels,IgE
k217,Latex rHev b 3 (recombinant),Allergènes professionnels,IgE
k218,Latex rHev b 5 (recombinant),Allergènes professionnels,IgE
k219,Latex rHev b 6.01 (recombinant),Allergènes professionnels,IgE
k220,Latex rHev b 6.02 (recombinant),Allergènes professionnels,IgE
k221,Latex rHev b 8 (recombinant),Allergènes professionnels,IgE
k221,Latex rHev b 8 (recombinant),Allergènes professionnels,IgE
k224,Latex rHev b 11(recombinant),Allergènes professionnels,IgE
k32,Hêtre (bois),Allergènes professionnels,IgE
k33,Chêne ; Bois ; sciure,Allergènes professionnels,IgE
k37,Bois de Limba,Allergènes professionnels,IgE
k40,Noyer ; Bois,Allergènes professionnels,IgE
k43,Cèdre rouge,Allergènes professionnels,IgE
k44,Sapin argenté,Allergènes professionnels,IgE
k5,Lin ; graine,Allergènes professionnels,IgE
k7,Poussière de foin,Allergènes professionnels,IgE
k70,Café vert ; graine,Allergènes professionnels,IgE
k71,Ricin ; graine ; allerfène professionnel,Allergènes professionnels,IgE
k72,Ispaghule,Allergènes professionnels,IgE
k73,Soie déchets,Allergènes professionnels,IgE
k74,Soie naturelle,Allergènes professionnels,IgE
k75,Isocyanate TDI,Allergènes professionnels,IgE
k76,Isocyanate MDI,Allergènes professionnels,IgE
k77,Isocyanate HDI,Allergènes professionnels,IgE
k78,Oxyde d&rsquo;éthylène,Allergènes professionnels,IgE
k79,Anhydride phtalique,Allergènes professionnels,IgE
k79,Anhydride phtalique,Allergènes professionnels,IgG
k80,Formol,Allergènes professionnels,IgE
k81,Ficus spp,Allergènes professionnels,IgE
k82,Latex,Allergènes professionnels,IgG4
k82,Latex Recombi +,Allergènes professionnels,IgE
k82,Latex,Allergènes professionnels,IgG
k83,Coton ; graine,Allergènes professionnels,IgE
k84,Tournesol ; graine,Allergènes professionnels,IgE
k85,Chloramine T,Allergènes professionnels,IgE
k86,Anhydride trimellitique,Allergènes professionnels,IgE
k87,Alpha-amylase,Allergènes professionnels,IgE
mor,Morphine,Médicaments,IgE
mx1,"Moisissures ; m1, m2, m3, m6",Microorganismes,IgE
mx2,"Moisissures ; m1, m2, m3, m5, m6, m8",Microorganismes,IgE
mx4,"Moisissures ; m3, m36, m207, m228",Microorganismes,IgE
m1,Penicillium notatum,Microorganismes,IgE
m1,Penicillium notatum,Microorganismes,IgG4
m1,Penicillum notatum,Microorganismes,IgG
m10,Stemphylium,Microorganismes,IgG4
m10,Stemphyllium botryosum,Microorganismes,IgE
m11,Rhizopus nigricans,Microorganismes,IgE
m11,Rhizopus nigricans,Microorganismes,IgG4
m12,Aureabasidium pullulans,Microorganismes,IgE
m13,Phoma betae,Microorganismes,IgE
m14,Epicoccum purpurascens,Microorganismes,IgE
m15,Trichoderma viride,Microorganismes,IgE
m16,Curvularia lunata,Microorganismes,IgE
m2,Cladosporium herbarum,Microorganismes,IgE
m2,Cladosporium herbarum,Microorganismes,IgG4
m2,Cladosporium herbarum,Microorganismes,IgG
m201,Ustilago nuda ou tritici,Microorganismes,IgE
m202,Cephalosporium acremonium,Microorganismes,IgE
m203,Trichosporon pullulans,Microorganismes,IgE
m204,Ulocladium chartarum,Microorganismes,IgE
m205,Trichophyton rubrum,Microorganismes,IgE
m207,Aspergillus nIgE,Microorganismes,IgE
m208,Chaetomium globosum,Microorganismes,IgE
m209,Penicillium frequentans,Microorganismes,IgE
m210,Trichophyton ; Qoetzii,Microorganismes,IgE
m211,Trichophyton ; Interdigitale,Microorganismes,IgE
m22,Micropolyspora Faeni,Microorganismes,IgG
m223,Entérotoxine staphylococcique C,Microorganismes,IgE
m224,Entérotoxine staphylococcique D,Microorganismes,IgE
m225,Entérotoxine staphylococcique E,Microorganismes,IgE
m226,Entérotoxine staphylococcique TSST,Microorganismes,IgE
m227,Malassezia spp,Microorganismes,IgE
m228,Aspergillus flavus,Microorganismes,IgE
m23,Thermoactinomyces Vulgaris,Microorganismes,IgG
m3,Aspergillus,Microorganismes,IgG4
m3,Aspergillus,Microorganismes,IgG
m3,Aspergillus fumigatus,Microorganismes,IgE
m36,Aspergillus terreus,Microorganismes,IgE
m4,Mucor racemosus,Microorganismes,IgE
m5,Candida albicans,Microorganismes,IgE
m5,Candida albican,Microorganismes,IgG4
m5,Candida albican,Microorganismes,IgG
m54,Aspergillus flavius,Microorganismes,IgE
m6,Alternaria alternata,Microorganismes,IgE
m6,Alternaria,Microorganismes,IgG4
m6,Altenaria,Microorganismes,IgG
m7,Botrytis cinerea,Microorganismes,IgG
m7,Botrytis cinerea,Microorganismes,IgG4
m7,Botrytis cinerea,Microorganismes,IgE
m70,Pityrosporum orbiculaire,Microorganismes,IgE
m8,Helminthosporium halodes,Microorganismes,IgE
m80,Entérotoxine staphylococcique A,Microorganismes,IgE
m81,Entérotoxine staphylococcique B,Microorganismes,IgE
m9,Fusarium monoliforme,Microorganismes,IgG
m9,Fusarium monoliforme,Microorganismes,IgE
nes,Nesdonal,Médicaments,IgE
o1,Coton ; fibres,Divers,IgE
o201,Feuille de tabac,Divers,IgE
o202,Artemisia salina,Divers,IgE
o203,Tétramine,Divers,IgE
o205,Séricine (colle à soie),Divers,IgE
o206,Chortoglyphus arcuatus,Divers,IgE
o207,Daphnie,Divers,IgE
o210,Pseudomonas aeruginosa,Microorganismes,IgE
o211,Ver de farine,Divers,IgE
o214,CCD MUXF3 de la broméline,Divers,IgE
o51,Streptoccocus viridans,Microorganismes,IgE
o70,Liquide séminal,Divers,IgE
o71,Staphylococcus aureus,Microorganismes,IgE
pax1,"Squames d&rsquo;animaux, plumes ; e3, e4, e70, e85",Animaux,IgE
pax3,"Pollens, moisissures ; m3, m6, g15, g12",Divers,IgE
pax4,"Industrie alimentaire ; f4, f14, k87, Ri202",Allergènes professionnels,IgE
pax5,"Produits chimique ; k75, k76, k77, k79",Allergènes professionnels,IgE
pax6,"Agents désinfectants ; k78, k79, k80, k85",Allergènes professionnels,IgE
p1,Ascaris,Parasites,IgE
p2,Echinococcus,Parasites,IgE
p4,Anisakis,Parasites,IgE
Rfx12,"Mélange f5, f9, f35, Rf212, f225",Aliments d'origine végétale,IgE
Rf302,Mandarine,Aliments d'origine végétale,IgE
Rf330,Cynorrhodon,Aliments d'origine végétale,IgE
Rf334,Lactoferrine bovine,Aliments d'origine animale,IgE
Rf336,Jujube,Aliments d'origine végétale,IgE
Rf339,Poivre de la jamaique,Aliments d'origine végétale,IgE
rm218,Aspergillus rAspf1 (recombinant),Microorganismes,IgE
rm219,Aspergillus rAspf2 (recombinant),Microorganismes,IgE
rm220,Aspergillus rAspf3 (recombinant),Microorganismes,IgE
rm221,Aspergillus rAspf4 (recombinant),Microorganismes,IgE
rm222,Aspergillus rAspf6 (recombinant),Microorganismes,IgE
Rt217,Poivrier,Pollens d'arbres,IgE
rx3,Mélange pneumallergènes RX3,Pollens d'arbres,IgE
rx4,Mélange pneumallergènes RX4,Pollens d'arbres,IgE
rx5,Mélange pneumallergènes RX5,Pollens d'arbres,IgE
sx1,"D.ptéronyssinus,chat,chien,phléole,seigle,C.herbarum, bouleau,armoise",Pollens d'arbres,IgG
sx22,"Noix de pécan,noix de cajou,pistache,noix",Aliments d'origine végétale,IgG
tea,Triethylamine,Divers,IgE
tma,Trimethylamine,Divers,IgE
tx1,"Arbres ; t1, t3, t7, t8, t10",Pollen d'arbres,IgE
tx10,"Arbres ; t2, t3, t4, t15",Pollen d'arbres,IgE
tx2,"Arbres ; t1, t7, t8, t14, t22",Pollen d'arbres,IgE
tx3,"Arbres ; t6, t7, t8, t14, t20",Pollen d'arbres,IgE
tx4,"Arbres ; t7, t8, t11, t12, t14",Pollen d'arbres,IgE
tx5,"Arbres ; t2, t4, t8, t12, t14",Pollen d'arbres,IgE
tx6,"Arbres ; t1, t3, t5, t7, t10",Pollen d'arbres,IgE
tx7,"Arbres méditerrannéens ; t9, t12, t16, t18, t19, t21",Pollen d'arbres,IgE
tx8,"Arbres ; t1, t3, t4, t7, t11",Pollen d'arbres,IgE
tx9,"Arbres ; t2, t3, t4, t7, t11",Pollen d'arbres,IgE
t1,Erable,Pollen d'arbres,IgE
t10,Noyer,Pollen d'arbres,IgE
t11,Platane,Pollen d'arbres,IgG4
t11,Platane,Pollen d'arbres,IgE
t11,Platane,Pollen d'arbres,IgG
t12,Saule,Pollen d'arbres,IgE
t14,Pleuplier,Pollen d'arbres,IgG4
t14,Peuplier,Pollen d'arbres,IgE
t15,Frêne ; Fraxinus americana,Pollen d'arbres,IgG4
t15,Frêne ; Fraxinus americana,Pollen d'arbres,IgE
t16,Pin ; Pinus strobus,Pollen d'arbres,IgE
t16,Pin,Pollen d'arbres,IgG4
t17,Cèdre du Japon,Pollen d'arbres,IgE
t18,Eucalyptus,Pollen d'arbres,IgE
t19,Mimosa,Pollen d'arbres,IgE
t2,Aulne,Pollen d'arbres,IgE
t2s,Aulne,Pollen d'arbres,IgG4
t20,Prosopis,Pollen d'arbres,IgE
t201,Sapin,Pollen d'arbres,IgE
t203,Marronnier,Pollen d'arbres,IgE
t205,Sureau,Pollen d'arbres,IgE
t206,Châtaignier,Pollen d'arbres,IgE
t207,Sapin de Douglas,Pollen d'arbres,IgE
t208,Tilleul,Pollen d'arbres,IgE
t209,Charme,Pollen d'arbres,IgE
t209,Charme,Pollen d'arbres,IgG4
t21,Cajeputier,Pollen d'arbres,IgE
t210,Troène,Pollen d'arbres,IgE
t211,Liquidambar,Pollen d'arbres,IgE
t212,Cèdre,Pollen d'arbres,IgE
t213,Pin ; Pinatus rabiata,Pollen d'arbres,IgE
t214,Datte,Pollen d'arbres,IgE
t215,rBet v 1 bouleau ; recombinant,Pollen d'arbres,IgE
t216,rBet V2 profiline ; recombinant,Pollen d'arbres,IgE
t218,Chêne de Virginie,Pollen d'arbres,IgE
t22,Pacanier,Pollen d'arbres,IgE
t220,rBet V4 profiline ; recombinant,Pollen d'arbres,IgE
t221,"Bouleau rBet v2, rBet v 4 (recombinants)",Pollen d'arbres,IgE
t222,Cyprès d&rsquo;Arizona,Pollen d'arbres,IgE
t223,Palmier à huile,Pollen d'arbres,IgE
t224,Olivier recombinant (nOle e1),Pollen d'arbres,IgE
t225,rBet v 6 bouleau ; recombinant,Pollen d'arbres,IgE
t23,Cyprès,Pollen d'arbres,IgG4
t23,Cyprès,Pollen d'arbres,IgE
t23,Cyprès,Pollen d'arbres,IgG
t25,Frêne Commun,Pollen d'arbres,IgG
t25,Frêne Commun,Pollen d'arbres,IgE
t250,Lilas ; pollen,Pollen d'arbres,IgE
t3,Bouleau,Pollen d'arbres,IgE
t3,Bouleau,Pollen d'arbres,IgG
t3,Bouleau,Pollen d'arbres,IgG4
t37,Cyprès chauve,Pollen d'arbres,IgE
t4,Noisetier,Pollen d'arbres,IgE
t4,Noisetier,Pollen d'arbres,IgG4
t4,Noisetier,Pollen d'arbres,IgG
t44,Micocoulier de Virginie,Pollen d'arbres,IgE
t5,Hêtre,Pollen d'arbres,IgE
t55,Genêt à balai,Pollen d'arbres,IgE
t6,Genèvrier,Pollen d'arbres,IgG4
t6,Genèvrier,Pollen d'arbres,IgG
t7,Chêne ; pollen,Pollen d'arbres,IgE
t70,Mûrier,Pollen d'arbres,IgE
t72,Palmier,Pollen d'arbres,IgG4
t72,Palmier,Pollen d'arbres,IgE
t73,Pin d&rsquo;Australie,Pollen d'arbres,IgE
t75,Genêt,Pollen d'arbres,IgE
t8,Orme,Pollen d'arbres,IgE
t89,Thuya,Pollen d'arbres,IgE
t9,Olivier,Pollen d'arbres,IgE
t9,Olivier,Pollen d'arbres,IgG4
t9,Olivier,Pollen d'arbres,IgG
u203,Ampicilline,Médicaments,IgE
u209,Paracétamol,Médicaments,IgE
u219,Sauge,Aliments d'origine végétale,IgE
u340,Gélatine,Médicaments,IgE
wx1,"Herbacées ; w1, w6, w9, w10, w11",Pollens d’herbacées,IgE
wx2,"Herbacées ; w2, w6, w9, w10, w15",Pollens d’herbacées,IgE
wx209,"Mélange d&rsquo;ambroisies (Ambroisie,Ambroisie à épi grêle,Ambroisie trilobée)",Pollens d’herbacées,IgE
wx3,"Herbacées ; w6, w9, w10, w12, w20",Pollens d’herbacées,IgE
wx5,"Herbacées ; w1, w6, w7, w8, w12",Pollens d’herbacées,IgE
wx6,"Plantago lanceolata, Chenopodium album, Salsola kali, Rumex acetosella",Pollens d’herbacées,IgE
wx7,"Herbacées ; w7, w8, w9, w10, w12",Pollens d’herbacées,IgE
w1,Ambroise,Pollens d’herbacées,IgG4
w1,Ambroisie,Pollens d’herbacées,IgE
w1,Ambroisie,Pollens d’herbacées,IgG
w10,Chénopode,Pollens d’herbacées,IgG4
w10,Chénopode blanc,Pollens d’herbacées,IgE
w11,Soude,Pollens d’herbacées,IgE
w12,Solidage,Pollens d’herbacées,IgE
w12,Solidage,Pollens d’herbacées,IgG4
w13,Petite bardane,Pollens d’herbacées,IgE
w14,Amaranthe,Pollens d’herbacées,IgE
w15,Arroche,Pollens d’herbacées,IgE
w16,Iva,Pollens d’herbacées,IgE
w17,Kochia,Pollens d’herbacées,IgE
w18,Petite oseille,Pollens d’herbacées,IgG
w18,Petite oseille,Pollens d’herbacées,IgG4
w18,Petite oseille,Pollens d’herbacées,IgE
w19,Pariétaire officinalis,Pollens d’herbacées,IgE
w2,Ambroisie à épi grêle,Pollens d’herbacées,IgE
w20,Ortie,Pollens d’herbacées,IgE
w203,Colza ; pollen,Pollens d’herbacées,IgE
w204,Tournesol,Pollens d’herbacées,IgE
w206,Camomille,Pollens d’herbacées,IgE
w207,Lupin ; pollen,Pollens d’herbacées,IgE
w208,Lycopodium,Pollens d’herbacées,IgE
w21,Pariétaire,Pollens d’herbacées,IgG4
w21,Pariétaire,Pollens d’herbacées,IgG
w21,Pariétaire judaica,Pollens d’herbacées,IgE
w210,Betterave sucrière,Pollens d’herbacées,IgE
w211,rPar j 2 Pariétaire ; recombinant,Pollens d’herbacées,IgE
w22,Chrysanthème,Pollens d’herbacées,IgE
W26,Narcissus pseudonarcissus ; Narcisse,Pollens d’herbacées,IgE
w3,Ambroisie trilobée,Pollens d’herbacées,IgE
w33,Trèfle,Pollens d’herbacées,IgE
w4,Fausse ambroisie,Pollens d’herbacées,IgE
w44,Forsythia,Pollens d’herbacées,IgE
w45,Luzerne,Pollens d’herbacées,IgE
w5,Absinthe,Pollens d’herbacées,IgE
w55,Lavande,Pollens d’herbacées,IgE
w6,Armoise commune,Pollens d’herbacées,IgE
w6,Armoise commune,Pollens d’herbacées,IgG
w6,Armoise commune,Pollens d’herbacées,IgG4
w7,Grande Marguerite,Pollens d’herbacées,IgG4
w7,Grande marguerite,Pollens d’herbacées,IgE
w8,Pissenlit,Pollens d’herbacées,IgE
w8,Pissenlit,Pollens d’herbacées,IgG4
w9,Plantain,Pollens d’herbacées,IgE
w9,Plantain,Pollens d’herbacées,IgG
w9,Plantain,Pollens d’herbacées,IgG4
